h,delta,p,theta,file
66.619112,24.449977,0.075884,74.141600,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T100223C3o.log"
50.014359,24.446458,0.075888,76.594300,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T085608C3o.log"
57.705720,24.456101,0.075884,75.678700,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T092648C3o.log"
66.006184,24.453969,0.075894,74.255200,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T095955C3o.log"
55.283060,24.451480,0.075876,76.015200,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T091708C3o.log"
64.764451,24.449417,0.075880,74.507500,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T095500C3o.log"
57.089110,24.447648,0.075875,75.775500,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T092420C3o.log"
46.698057,24.446023,0.075878,76.865600,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T084254C3o.log"
20.604397,24.452464,0.075879,72.298100,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T065845C3o.log"
65.383270,24.453771,0.075888,74.381900,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T095727C3o.log"
22.143622,24.444181,0.075879,73.225500,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T070455C3o.log"
37.374222,24.453425,0.075874,76.986500,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T080541C3o.log"
62.233152,24.457088,0.075879,74.965200,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T094453C3o.log"
47.316837,24.450276,0.075887,76.838800,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T084521C3o.log"
33.448170,24.448951,0.075892,76.629800,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T075002C3o.log"
43.991456,24.449889,0.075874,77.021800,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T083205C3o.log"
61.615204,24.452763,0.075871,75.057700,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T094226C3o.log"
41.072252,24.445423,0.075874,77.061500,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T082026C3o.log"
40.458279,24.449542,0.075880,77.063800,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T081758C3o.log"
20.908199,24.448298,0.075876,72.479900,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T065959C3o.log"
